paper_id,title,abstract,publication_year,doi,satisfy_ic1,satisfy_ic2,from_snowballing,papers_backward_snowballing,papers_forward_snowballing,citation_key,publication_type,venue,venue_type
11,Electrical cost savings and clean energy usage potential for HPC workloads,"Data centres containing high-performance computing (HPC) clusters may be able to coordinate with the operation of wind farms for mutual benefit. Large data centres consume megawatts of power, typically accounting for a majority of life cycle carbon emissions and a significant portion of the total cost of ownership. We ran simulations to explore the potential for data centres to adapt to dynamic electrical prices, variation in carbon intensity within an electrical grid, or the availability of local renewables. Using workloads from the Parallel Workloads Archive alongside real-world pricing data, we demonstrate potential savings on the cost of electricity ranging typically between 10-50%. Adaptation to the variation in the electrical grid carbon intensity was not as successful, but adaptation to the availability of local renewables showed potential to significantly increase their use. In one example the fraction of power obtained from a local wind installation increased by 10-80%. © 2011 IEEE.",2011,10.1109/ISSST.2011.5936911,1.0,0.0,0.0,25.0,14.0,aikema2011Electrical,conference paper,"Proceedings of the 2011 IEEE International Symposium on Sustainable Systems and Technology, ISSST 2011",sustainability energy
12,Direct waste heat utilization from liquid-cooled supercomputers,"Chip microscale liquid-cooling reduces conductive and convective resistance thereby improving the efficiency of datacenters by allowing coolant temperatures above the free cooling limit in all climates. This eliminates the need for chillers and allows the thermal energy to be re-used in cold climates. Replacing the combustion processes for secondary users with recycled heat from the datacenter effectively eliminates carbon dioxide emission during the winter season and reduces operating cost throughout the year. The energy balance of emission-reduced datacenters is compared with a classical air cooled datacenter, a datacenter with free cooling in a cold climate zone, and a datacenter with chiller-mediated energy re-use. Hot water cooled datacenters reduce the effective energy cost by almost a factor of two compared to a current datacenter and reduce the carbon footprint by an even larger factor. Our energy re-use concept has been demonstrated in terms of cost and energy savings in a 60°C liquid cooled supercomputer. Additional alternative energy re-use schemes in hot climates for desalination and adsorption cooling allow close to full use of datacenter heat in all climates and all seasons. Output temperatures for these applications compared to space heating need to be 10-20°C higher which becomes possible through hotspot adapted cooling that eliminates mixing of fluids with different temperatures. In addition, interlayer cooled chip stacks allow double sided hotspot optimized cooling even closer to the heat source with low flow rates and low pumping power. This improves the large efficiency gain that becomes possible through 3D chip stacking. © 2010 by ASME.",2010,10.1115/IHTC14-23352,1.0,0.0,0.0,47.0,51.0,brunschwiler2010Direct,conference paper,2010 14th International Heat Transfer Conference,domain specific
13,Towards Sustainability and Energy Efficiency Using Data Analytics for HPC Data Center,"High-performance computing (HPC) in data centers increases energy use and operational costs. Therefore, it is necessary to efficiently manage resources for the sustainability of and reduction in the carbon footprint. This research analyzes and optimizes ENEA HPC data centers, particularly the CRESCO6 cluster. The study starts by gathering and cleaning extensive datasets consisting of job schedules, environmental conditions, cooling systems, and sensors. Descriptive statistics accompanied with visualizations provide deep insight into collated data. Inferential statistics are then used to investigate relationships between various operational variables. Finally, machine learning models predict the average hot-aisle temperature based on cooling parameters, which can be used to determine optimal cooling settings. Furthermore, idle periods for computing nodes are analyzed to estimate wasted energy, as well as for evaluating the effect that idle node shutdown will have on the thermal characteristics of the data center under consideration. It closes with a discussion on how statistical and machine learning techniques can improve operations in a data center by focusing on important variables that determine consumption patterns. © 2024 by the authors.",2024,10.3390/electronics13173542,1.0,0.0,0.0,28.0,2.0,chinnici2024Sustainability,journal paper,Electronics (Switzerland),domain specific
14,Eco-efficient resource management in HPC clusters through computer intelligence techniques,"High Performance Computing Clusters (HPCCs) are common platforms for solving both up-to-date challenges and high-dimensional problems faced by IT service providers. Nonetheless, the use of HPCCs carries a substantial and growing economic and environmental impact, owing to the large amount of energy they need to operate. In this paper, a two-stage holistic optimisation mechanism is proposed to manage HPCCs in an eco-efficiently manner. The first stage logically optimises the resources of the HPCC through reactive and proactive strategies, while the second stage optimises hardware allocation by leveraging a genetic fuzzy system tailored to the underlying equipment. The model finds optimal trade-offs among quality of service, direct/indirect operating costs, and environmental impact, through multiobjective evolutionary algorithms meeting the preferences of the administrator. Experimentation was done using both actual workloads from the Scientific Modelling Cluster of the University of Oviedo and synthetically-generated workloads, showing statistical evidence supporting the adoption of the new mechanism. © 2019 by the authors.",2019,10.3390/en12112129,1.0,0.0,0.0,57.0,5.0,cocana-fernandez2019Ecoefficient,journal paper,Energies,sustainability energy
15,Energy-oriented analysis of HPC cluster queues: Emerging metrics for sustainable data center,"This work analyzes a very subtle kind of energy metrics for Data Centers (DCs), namely productivity metrics which affect the global energy efficiency assessment in a DC since they focus on the energy used for processing computing operations. By exploiting the available set of energy consumption data concerning operating systems in ENEA-DC, HPC-Cluster, the authors evaluated the energy consumed by different queues with several running applications. The queues energy waste has been calculated to provide an assessment for the ineffective use of computation-related energy load within the Cluster. This work shows an increment innovation beyond state-of-the-art for productivity metrics and useful work, and it will also help provide an invaluable insight into useful energy use and the use of enhanced sustainability metrics with the goal of driving a more sustainable DC. Additionally, sustainability concept in DC operations is driven by estimation of its indirect carbon emissions, which is shown in this work. © Springer Nature Switzerland AG 2019.",2019,10.1007/978-3-030-21507-1_41,1.0,0.0,0.0,24.0,7.0,grishina2019Energyoriented,conference paper,"3rd International Conference on Applied Physics, System Science and Computers (APSAC 2018)",domain specific
16,High Energy Consumption or Dirty Energy Using? The Driving Factors Behind Carbon Emission in National Supercomputing Centers,"Regarding the impact of digitization on the environment, a definitive consensus remains elusive in the scholarly discourse. This article evaluates the carbon emissions impact of China’s National Supercomputing Centers (NSCs) in terms of computational power, aiming to determine whether NSCs exhibit significant carbon emissions effects and to identify the underlying factors driving them. Theoretically, we integrate both direct and indirect effect into a comprehensive research framework, comprising the dimensions of energy consumption and energy structure. Empirically, the synthetic control method (SCM) is employed, constructing a group of synthetic control cities that closely resemble the NSC cities. The research findings show that NSC cities exhibit statistically significant differences in carbon emissions compared to synthetically non-NSC cities, yet this phenomenon manifests with intercity heterogeneity. Upon scrutinizing the driving factors, it becomes apparent that NSCs primarily elevate urban energy consumption scale through increased industrial electricity usage, thus fostering the escalation of local carbon emissions. Interestingly, in certain cities, despite witnessing a surge in energy consumption scale attributable to NSC, carbon emissions effects were not observed, which could be predominantly ascribed to a higher proportion of clean energy within the energy structure. The above results unveil the existence of NSC carbon emissions effect as well as its driving factors (high energy consumption and dirty energy using), providing policy guidance for public sectors aiming to enhance NSC operational efficiency, optimize energy structure, and broaden the spillover effect. © 2024, HARD Publishing Company. All rights reserved.",2024,10.15244/pjoes/173099,1.0,0.0,0.0,38.0,0.0,haodong2024High,journal paper,Polish Journal of Environmental Studies,sustainability energy
17,Carbon Emission Modeling for High-Performance Computing-Based AI in New Power Systems with Large-Scale Renewable Energy Integration,"Under the global impetus toward carbon peak and carbon neutrality, large-scale renewable energy integration has become a key driver in transforming traditional power grids into new power systems. Meanwhile, the growing adoption of advanced artificial intelligence (AI) approaches, especially large-scale models, heavily relies on high-performance computing (HPC) resources, which pose significant sustainability challenges due to their energy consumption and carbon emissions. This study introduces a newly developed carbon emission model (CEM) that accounts for both embodied and operational emissions in HPC systems. The CEM integrates parameters such as energy intensity coefficients, workload distribution patterns, and renewable deficiency rates, providing a lifecycle perspective of emissions in HPC-based AI applications for power systems. Results reveal that operational emissions dominate, constituting 87% of the total lifecycle footprint. Different regions exhibit varying carbon emissions, and on average, increasing the renewable energy share from 20% to 50% reduces total emissions by 43%, while a full transition to renewable energy achieves a 92% reduction. Circular economy practices, including hardware recycling and sustainable design, are also highlighted to mitigate embodied emissions. This study offers quantitative evidence and actionable insights for power industry stakeholders, enabling the balance between high-performance AI computations and ambitious carbon neutrality goals in renewable-integrated systems. © 2025 by the authors.",2025,10.3390/pr13020595,1.0,1.0,0.0,42.0,12.0,liu2025Carbon,journal paper,Processes,domain specific
18,The ecological impact of high-performance computing in astrophysics,"The importance of computing in astronomy continues to increase, and so is its impact on the environment. When analyzing data or performing simulations, most researchers raise concerns about the time to reach a solution rather than its impact on the environment. A reduced time-to-solution due to faster hardware or optimizations in the software generally also leads to a smaller carbon footprint. This is not the case when the reduced wall-clock time is achieved by overclocking the processor, or when using supercomputers. The increase in the popularity of interpreted scripting languages, and the general availability of high-performance workstations form a considerable threat to the environment. A similar concern can be raised about the trend of running single-core instead of adopting efficient many-core programming paradigms. In astronomy, computing is among the top producers of greenhouse gases, surpassing telescope operations.",2020,10.1038/s41550-020-1208-y,1.0,0.0,1.0,27.0,100.0,portegieszwart2020ecological,journal paper,Nature Astronomy,domain specific
19,"Green and sustainable high-performance computing with smartphone crowd computing: Benefits, enablers, and challenges","The introduction of the Internet of Things (IoT) and Big Data applications have garnered a massive amount of digital data. Processing and analysing these data demand vast computing resources, proportionately. The major downside of producing and using computing resources in such volumes is the deterioration of the Earth's environment. The production process of the electronic devices involves hazardous and toxic substances which not only harm human and other living beings health but also contaminate the water and soil. The production and operations of these computers in largescale also results in massive energy consumption and greenhouse gas generation. Moreover, the low use cycle of these devices produces a huge amount of not-easy-todecompose e-waste. In this outlook, instead of buying new devices, it is advisable to use the existing resources to their fullest, which will minimize the environmental penalties of production and e-waste. This paper advocates for using smartphones and smartphone crowd computing (SCC) to ease off the use of PCs/laptops and centralized high-performance computers (HPCs) such as data centres and supercomputers. The paper aims to establish SCC as the most feasible computing system solution for sustainable computing. Detailed comparisons, in terms of environmental effects (e.g., energy consumption, greenhouse gas generation, etc.), between SCC and supercomputers and other green computing initiatives such as Grid and Cloud Computing, are presented. The key enablers of SCC are identified and discussed. One of them is today's computationally powerful smartphones. A comprehensive statistical survey of the various commercial CPUs, GPUs, SoCs for smartphones is presented confirming the capability of the SCC as an alternative to HPC. The challenges involved in realizing SCC are also considered. One of the major challenges is handling the issue of limited battery in smartphones. The reasons for battery drain are recognized with probable measures. An exhaustive survey is presented on the present and optimistic future of the continuous improvement and research on different aspects of smartphone battery and other alternative power sources which will allow users to use their smartphones for SCC without worrying about the battery running out. © 2019 SCPE.",2019,10.12694/scpe.v20i2.1517,1.0,0.0,0.0,80.0,41.0,pramanik2019Green,journal paper,Scalable Computing,parallel distributed
20,An efficient scheduling of HPC applications on geographically distributed cloud data centers,"Cloud computing provides a flexible infrastructure for IT industries to run their High Performance Computing (HPC) applications. Cloud providers deliver such computing infrastructures through a set of data centers called a cloud federation. The data centers of a cloud federation are usually distributed over the world. The profit of cloud providers strongly depends on the cost of energy consumption. As the data centers are located in various corners of the world, the cost of energy consumption and the amount of CO2 emission in different data centers varies significantly. Therefore, a proper allocation of HPC applications in such systems can result in a decrease of CO2 emission and a substantial increase of the providers’ profit. Reduction of CO2 emission also mitigates the destructive environmental impacts. In this paper, the problem of scheduling HPC applications on a geographically distributed cloud federation is scrutinized. To address the problem, we propose a two-level scheduler which is able to reach a good compromise between CO2 emission and the profit of cloud provider. The scheduler should also satisfy all HPC applications’ deadline and memory constraints. Simulation results based on a real intensive workload indicate that the proposed scheduler reduces the CO2 emission by 17 % while at the same time it improves the provider’s profit by 9 % on average. © Springer International Publishing Switzerland 2014.",2014,10.1007/978-3-319-10903-9_13,1.0,0.0,0.0,17.0,7.0,rajabi2014efficient,conference paper,International Symposium on Computer Networks and Distributed Systems (CNDS 2013),parallel distributed
21,Supercomputers keeping people warm in the winter,"We present the design and evaluation of the heat recovery system for KTH's Lindgren, Stockholm's fastest supercomputer, a Cray XE6. Lindgren came into service in 2010 and has since been primarily used for complex numeric simulations of fluid mechanics and computational chemistry and biology. The heat exchange system collects the wasted heat from Lindgren's 36,384 CPU cores and transfers it via the standard district heating and cooling system to a neighboring building which houses the Chemistry laboratories. We analyze the impact of Lindgren's heat recycle system as a function of outside temperature and we estimate the system's carbon emission savings. Since the original installation of Lindgren in 2010, it has become common practice to use water cooling systems for supercomputers, as water is a better heat transfer medium than air. We discuss the relevant design lessons from Lindgren as they relate to practical and sustainable waste heat recovery designs for today's platforms. Finally, we estimate that the recovered heat from Lindgren reduced the carbon emissions by nearly 50 tons over the 2012-13 winter, the sample period of our analysis. © 2014. The authors.",2014,10.2991/ict4s-14.2014.40,1.0,0.0,0.0,23.0,23.0,romero2014Supercomputers,conference paper,"ICT for Sustainability 2014, ICT4S 2014",sustainability energy
22,A review on the decarbonization of high-performance computing centers,"High-performance computing relies on performance-oriented infrastructures with access to powerful computing resources to complete tasks that contribute to solve complex problems in society. The intensive use of resources and the increase in service demand due to emerging fields of science, combined with the exascale paradigm, climate change concerns, and rising energy costs, ultimately means that the decarbonization of these centers is key to improve their environmental and financial performance. Therefore, a review on the main opportunities and challenges for the decarbonization of high-performance computing centers is essential to help decision-makers, operators and users contribute to a more sustainable computing ecosystem. It was found that state-of-the-art supercomputers are growing in computing power, but are combining different measures to meet sustainability concerns, namely going beyond energy efficiency measures and evolving simultaneously in terms of energy and information technology infrastructure. It was also shown that policy and multiple entities are now targeting specifically HPC, and that identifying synergies with the energy sector can reveal new revenue streams, but also enable a smoother integration of these centers in energy systems. Overall, many opportunities, but also challenges, were identified to decrease carbon emissions in a sector mostly concerned with improving hardware performance.",2024,10.1016/j.rser.2023.114019,1.0,0.0,0.0,173.0,52.0,silva2024review,journal paper,Renewable and Sustainable Energy Reviews,sustainability energy
23,Energy dataset of Frontier supercomputer for waste heat recovery,"The Hewlett Packard Enterprise–Cray EX Frontier is the world’s first and fastest exascale supercomputer, hosted at the Oak Ridge Leadership Computing Facility in Tennessee, United States. Frontier is a significant electricity consumer, drawing 8–30 MW; this massive energy demand produces significant waste heat, requiring extensive cooling measures. Although harnessing this waste heat for campus heating is a sustainability goal at Oak Ridge National Laboratory (ORNL), the 30 °C–38 °C waste heat temperature poses compatibility issues with standard HVAC systems. Heat pump systems, prevalent in residential settings and some industries, can efficiently upgrade low-quality heat to usable energy for buildings. Thus, heat pump technology powered by renewable electricity offers an efficient, cost-effective solution for substantial waste heat recovery. However, a major challenge is the absence of benchmark data on high-performance computing (HPC) heat generation and waste heat profiles. This paper reports power demand and waste heat measurements from an ORNL HPC data centre, aiming to guide future research on optimizing waste heat recovery in large-scale data centres, especially those of HPC calibre. © This is a U.S. Government work and not under copyright protection in the US; foreign copyright protection may apply 2024.",2024,10.1038/s41597-024-03913-w,1.0,0.0,0.0,13.0,9.0,sun2024Energy,journal paper,Scientific Data,domain specific
24,The impact of computing infrastructure on carbon emissions: an empirical study based on china national supercomputing center,"Digitalization is viewed as a potential solution to environmental sustainability issues. However, existing researches suggest that the environmental impact of digital technology is uncertain. This study focuses on the National Supercomputing Center (NSC) in China, a large-scale computing infrastructure, and expands the correlation between digital infrastructure and green development from a computing perspective. Based on the synthetic control method, we select non-supercomputing cities as the control group and assign appropriate weighting. Through the fitting of a synthetic control group (refer to as the synthetic city) with similar characteristics, the analysis is conducted to compare carbon emissions (CO2 emission) between NSC city and the synthetic city. The empirical results show that the NSC may worsen regional CO2 emissions, and this result still holds true after a series of robustness tests. Mechanism examinations show that the NSC does not exhibit significant composition effect (energy structure improvement) and technology effect (green technology innovation), while scale effect (increase in energy demand and consumption) dominate the NSC’s carbon emissions. Based on these findings, we consider that in addition to improving the energy efficiency of supercomputing centers, the adoption of cleaner renewable energy and the promotion of knowledge spillovers are crucial for achieving a green transformation for computing infrastructure. © 2023 The Author(s). Published by IOP Publishing Ltd.",2023,10.1088/2515-7620/acfa65,1.0,0.0,0.0,54.0,10.0,yang2023impact,journal paper,Environmental Research Communications,sustainability energy
25,"Groundwater cooling of a supercomputer in Perth, Western Australia: hydrogeological simulations and thermal sustainability","Groundwater cooling (GWC) is a sustainable alternative to conventional cooling technologies for supercomputers. A GWC system has been implemented for the Pawsey Supercomputing Centre in Perth, Western Australia. Groundwater is extracted from the Mullaloo Aquifer at 20.8 °C and passes through a heat exchanger before returning to the same aquifer. Hydrogeological simulations of the GWC system were used to assess its performance and sustainability. Simulations were run with cooling capacities of 0.5 or 2.5 Mega Watts thermal (MWth), with scenarios representing various combinations of pumping rate, injection temperature and hydrogeological parameter values. The simulated system generates a thermal plume in the Mullaloo Aquifer and overlying Superficial Aquifer. Thermal breakthrough (transfer of heat from injection to production wells) occurred in 2.7–4.3 years for a 2.5 MWth system. Shielding (reinjection of cool groundwater between the injection and production wells) resulted in earlier thermal breakthrough but reduced the rate of temperature increase after breakthrough, such that shielding was beneficial after approximately 5 years pumping. Increasing injection temperature was preferable to increasing flow rate for maintaining cooling capacity after thermal breakthrough. Thermal impacts on existing wells were small, with up to 10 wells experiencing a temperature increase ≥ 0.1 °C (largest increase 6 °C). © 2015, Springer-Verlag Berlin Heidelberg.",2015,10.1007/s10040-015-1280-z,1.0,0.0,0.0,48.0,17.0,sheldon2015Groundwater,journal paper,Hydrogeology Journal,domain specific
26,High-Powered Computing: Energy Consumption and Its Environmental Impact,"The rapid development of High-Performance Computing (HPC) has driven technological advancements but also brought environmental challenges such as high energy consumption, carbon emissions, and electronic waste. This paper develops three core models to systematically analyze these issues and proposes sustainable solutions. Firstly, the paper analyzes the total energy consumption of global HPC centers, dividing it into computing-related energy and non-computing energy (e.g., cooling systems). In 2024, the estimated total energy consumption of the HPC industry was 205 terawatt-hours, which could reach 287 to 328 terawatt-hours under full load conditions. Secondly, by calculating the carbon emissions per kilowatt-hour of electricity, the paper estimates the global carbon emissions of the HPC industry in 2024 to be 7.24 million tons. The third model assesses the environmental impact of electronic waste generated by HPC systems, projecting that by 2030, HPC-related electronic waste will produce 112.8 million tons of carbon emissions, with disposal costs reaching 715 million USD and landfill costs of 6 million USD. Additionally, the study predicts the trends of energy consumption, carbon emissions, and electronic waste in the HPC industry by 2030. The research indicates that by adopting energy-saving technologies, accelerating the transition to renewable energy, and optimizing electronic waste management, the HPC industry can mitigate environmental hazards while leveraging its innovative potential and, based on this, proposes technical design recommendations such as energy-efficient hardware and software, reducing electronic waste, adopting cloud storage, and considering environmental impacts in technical design.",2025,10.56028/aetr.13.1.1337.2025,1.0,1.0,1.0,7.0,0.0,zhao2025HighPowered,journal paper,Advances in Engineering Technology Research,domain specific
27,"Supercomputer design: An initial effort to capture the environmental, economic, and societal impacts","Currently, the Green500 is possibly the largest effort to direct the evolution of supercomputing towards sustainable design but does not address life-cycle impacts of a supercomputer. Supercomputer assessment with economical, environmental, and societal impacts considered would provide an optimal future supercomputer design that is sustainable. By combining process-LCA and EIO-LCA methods, an initial model for in-depth sustainability analysis of supercomputer design has been developed. The model provides comparison of economic, environmental, and societal impacts for manufacturing and operation of not only a single supercomputer but a range of designs. The ultimate goal of this model is to assist government, academia, and industry in supercomputer development for existing and future supercomputers.",2013,,0.0,1.0,1.0,31.0,4.0,mcdonnell2013Supercomputer,gray literature,Faculty Publications and Other Works - Chemical and Biomolecular Engineering Publications,other
28,The huge carbon footprint of large-scale computing,"Researchers have been able to cut their carbon footprint by jetting off to fewer international conferences, but physicists working on large-scale experiments may also have to consider the significant environmental impact of the computer power they require. Michael Allen investigates.",2022,10.1088/2058-7058/35/03/32,1.0,0.0,1.0,0.0,11.0,allen2022huge,journal paper,Physics World,domain specific
