id,present_in_first_screening,claude_decision,claude_reason,codex_decision,codex_reason,gemini_decision,gemini_reason,human_decision,human_reason
11,yes,,,,,,,include,IC1
12,yes,,,,,,,include,IC1
13,yes,,,,,,,include,IC1
14,yes,,,,,,,include,IC1
15,yes,,,,,,,include,IC1
16,yes,,,,,,,include,IC1
17,yes,,,,,,,include,"IC1, IC2"
18,yes,,,,,,,include,"IC1, Snowball"
19,yes,,,,,,,include,IC1
20,yes,,,,,,,include,IC1
21,yes,,,,,,,include,IC1
22,yes,,,,,,,include,IC1
23,yes,,,,,,,include,IC1
24,yes,,,,,,,include,IC1
25,yes,,,,,,,include,IC1
26,yes,,,,,,,include,"IC1, IC2, Snowball"
27,yes,,,,,,,include,"IC2, Snowball"
28,yes,,,,,,,include,"IC1, Snowball"
29,yes,,,,,,,include,"IC1, Snowball"
30,yes,include,"The paper directly addresses energy consumption and CO2 emissions optimization in HPC cloud computing, connecting energy reduction to broader environmental impacts (greenhouse gas emissions).",include,"The paper is in the HPC context and explicitly addresses environmental impacts beyond energy consumption by optimizing and evaluating CO2 emissions, satisfying IC1 (and also presenting a measurement/optimization methodology relevant to IC2).",include,"The paper presents a multi-objective genetic algorithm for scheduling HPC applications that explicitly optimizes for and measures CO2 emissions, addressing environmental impacts beyond just energy consumption.",include,IC1
31,no,exclude,"This paper focuses on GPU adaptation of a fluid simulation model for computational efficiency, with no connection to environmental impacts of HPC systems.",exclude,"The paper focuses on GPU adaptation and computational performance/resource utilization of an HPC fluid solver, without addressing environmental impacts or methods to measure/predict them.",exclude,The paper focuses on optimizing computational performance and hardware resource utilization on GPUs for a fluid solver without addressing or connecting to broader environmental impacts.,,
32,yes,exclude,"EC1 — the paper is about teaching HPC programming on a cluster, with no discussion of environmental impacts; ""sustainability of learning"" refers to pedagogical outcomes, not environmental sustainability.",exclude,The paper is about HPC education and learning sustainability rather than environmental impacts of HPC systems or methods to measure/predict them.,exclude,The paper focuses on HPC education and pedagogy rather than environmental impacts or sustainability metrics.,exclude,EC1
33,yes,exclude,EC1 — the paper presents a parallel computing model for geographic region categorization and has no connection to the environmental impacts of HPC systems.,exclude,"The paper uses HPC to speed up a geographic categorization model, but it does not address environmental impacts of HPC systems or methods to measure/predict them.",exclude,The paper focuses on using HPC for geographic and ecological modeling rather than investigating the environmental impacts caused by HPC systems themselves.,exclude,EC1
34,no,exclude,"EC1/EC2 — the paper focuses on GPU computation performance and mesh refinement efficiency, with no connection to environmental impacts such as carbon emissions, water use, or material depletion.",exclude,"The paper focuses on AMR performance, scalability, and memory efficiency on multi-GPU systems without addressing environmental impacts of HPC or methods to measure/predict them.",exclude,The paper focuses on performance optimization and computational efficiency of GPU-based simulations without addressing environmental impacts or connecting energy consumption to broader environmental metrics.,,
35,no,exclude,"The paper focuses on classifying HPC job I/O behavior for monitoring purposes, with no connection to environmental impacts such as carbon emissions, energy consumption, or resource use.",exclude,"The paper analyzes HPC application I/O behavior for monitoring and classification, with no connection to environmental impacts or methods for measuring/predicting them.",exclude,The paper focuses on monitoring and classifying parallel I/O behavior for performance and anomaly detection without addressing environmental impacts or methodologies for their measurement.,,
36,no,include,"The paper addresses power capping in HPC systems with explicit attention to power efficiency metrics, connecting to the environmental impact dimension of energy use in HPC.",exclude,"The paper is about power management and power-efficiency in HPC systems without linking energy use to broader environmental impacts such as carbon emissions, water use, or materials.",exclude,The paper focuses solely on power management and efficiency in hybrid memory HPC systems without connecting these to broader environmental impacts as required by EC2.,,
37,yes,exclude,"The paper focuses on performance and resource efficiency of data transfer protocols in HPC/cloud storage, with no connection to environmental impacts such as carbon emissions, energy consumption in an environmental context, water use, or material depletion (EC1).",exclude,"The paper studies performance and protocol overhead for HPC storage and, despite mentioning resource efficiency, does not address environmental impacts or methods to measure/predict them in environmental terms.",exclude,The paper focuses on the performance and hardware resource efficiency of communication protocols for HPC storage without addressing or connecting to broader environmental impacts.,exclude,EC1
38,yes,include,"The paper presents tooling (RADAR visualizer + MERIC library) for monitoring and optimizing energy consumption in HPC applications, directly addressing environmental impact measurement in the HPC context (IC2).",include,"The paper is in the HPC context and presents a methodology/tool for measuring and optimizing application behavior using energy consumption metrics, so it meets IC2 and is uncertain enough on broader environmental relevance to include.",exclude,The paper focuses solely on energy consumption for HPC application tuning and does not connect it to broader environmental impacts as required by the exclusion criteria.,exclude,EC1
39,no,exclude,"EC1 — the paper is about a peer review workflow for coding assignments in an HPC course, with no connection to environmental impacts of HPC systems.",exclude,"The paper is about pedagogy and peer-review workflows for coding assignments in an HPC course, not the environmental impacts of HPC systems or methods to measure/predict them.",exclude,The paper focuses on pedagogical workflows for grading software development assignments and does not address environmental impacts of high-performance computing.,,
40,no,exclude,"The paper focuses on HPC job runtime prediction methods without connecting to environmental impacts such as carbon emissions, energy use, or other sustainability metrics.",exclude,"The paper is about HPC job runtime prediction and software sustainability of research artifacts, not about environmental impacts of HPC or methods to measure/predict them.",exclude,The paper focuses on job scheduling and wall time prediction for research reproducibility and does not address environmental impacts of HPC.,,
41,no,exclude,"EC1 — the paper focuses on performance projection and architecture selection for supercomputers, with no connection to environmental impacts such as energy consumption, carbon emissions, or resource use.",exclude,The paper focuses on HPC performance modeling and architectural design-space exploration without addressing environmental impacts or methods to measure/predict them.,exclude,The paper focuses on performance projection and architectural design choices for supercomputers without addressing or connecting to environmental impacts.,,
42,no,exclude,"EC1 — the paper focuses on GPU programming portability and multi-GPU performance optimization with OpenMP, with no connection to environmental impacts of HPC.",exclude,"The paper focuses on multi-GPU OpenMP offloading performance and scalability, without addressing environmental impacts or methods to measure/predict them in an HPC context.",exclude,The paper focuses on GPU programming performance and scaling without addressing any environmental impacts of HPC.,,
43,no,exclude,"EC1 — the paper focuses on parallel k-mer counting for genomics using HPC, with no connection to environmental impacts.",exclude,"The paper is about improving HPC performance and memory efficiency for k-mer counting, but it does not address environmental impacts or methods to measure/predict them.",exclude,The paper focuses on performance and memory optimization for k-mer counting in genomics and does not address environmental impacts of HPC.,,
44,yes,include,"The paper addresses energy efficiency in HPC GPU systems, measuring energy consumption and performance trade-offs, which connects to broader environmental impact goals in HPC sustainability.",exclude,"The paper is about GPU frequency scaling and energy efficiency/measurement in HPC, but it does not connect energy use to broader environmental impacts such as carbon emissions, water use, or material depletion.",include,The paper connects energy efficiency in HPC GPUs to sustainability goals and provides a methodology for measuring and improving energy consumption.,exclude,EC2
45,yes,exclude,"EC1/EC2 — the paper focuses on unikernel performance and system-call overhead in HPC, with no connection to environmental impacts such as carbon emissions, water use, or material depletion.",exclude,The paper evaluates unikernel performance and stability for HPC OpenMP benchmarks without addressing environmental impacts or methods to measure/predict them beyond runtime performance.,exclude,The paper focuses on the performance and stability of unikernels in HPC environments and does not address environmental impacts or related measurement methodologies.,exclude,EC1
46,no,exclude,"This paper focuses on neural-network quantum molecular dynamics simulation methodology and scalability on HPC systems, with no meaningful connection to environmental impacts of HPC (EC1); the brief mention of ""green ammonia technology"" refers to the application domain, not HPC environmental impacts.",exclude,"The paper focuses on improving the scalability and robustness of neural-network molecular dynamics on supercomputers, not on measuring, predicting, or analyzing the environmental impacts of HPC systems.",exclude,The paper focuses on the scalability and robustness of molecular dynamics simulations and only mentions sustainability as a potential application of the research (green ammonia) rather than addressing the environmental impacts of the HPC system itself.,,
47,yes,exclude,"The paper focuses on performance optimization of AI hardware for HPC scientific applications without addressing environmental impacts, carbon emissions, water use, or any other environmental concerns.",exclude,The paper focuses on performance optimization and memory efficiency for HPC applications on AI hardware without addressing environmental impacts or methods to measure/predict them.,exclude,The paper focuses on performance optimization and hardware acceleration for HPC applications without addressing environmental impacts or energy consumption.,exclude,EC1
48,yes,exclude,"EC1/EC2 — the paper focuses on predicting cloud resource usage for cost optimization in HPC, with no connection to environmental impacts such as carbon emissions, water use, or material depletion.",exclude,"The paper focuses on predicting cloud resource usage and costs for HPC workloads, without addressing environmental impacts or methods to measure/predict them.",exclude,"The paper focuses on predicting cloud resource usage for cost optimization and reservation planning, without addressing environmental impacts or connecting resource consumption to broader sustainability concerns.",exclude,EC1
49,yes,include,"The paper presents a tool for measuring energy consumption in HPC systems and explicitly connects this to carbon footprint, satisfying IC2 and touching on IC1.",include,"The paper is in the HPC context and both links energy use to carbon footprint and presents a methodology/tool for measuring energy consumption at scale, satisfying IC1 and IC2.",include,The paper presents a tool and methodology for measuring energy consumption in HPC applications and explicitly connects this consumption to the carbon footprint of high-performance computing.,exclude,EC2
50,no,exclude,"EC1 — the paper focuses on parallel solver performance and scalability for numerical PDE problems on HPC systems, with no connection to environmental impacts.",exclude,"The paper focuses on HPC solver performance, scalability, memory footprint, and communication overhead without addressing environmental impacts or methods to measure/predict them.",exclude,"The paper focuses on the numerical performance, scalability, and memory efficiency of a Stokes solver and does not address environmental impacts or methodologies for measuring them.",,
51,yes,exclude,"The paper focuses on FPGA-based SpMV hardware acceleration for HPC performance optimization, with only a brief mention of performance-per-Watt as a secondary metric, without addressing broader environmental impacts such as carbon emissions, water use, or material depletion.",exclude,"The paper focuses on performance and performance-per-watt of an FPGA-based HPC accelerator without addressing broader environmental impacts such as carbon emissions, water use, or material depletion.",exclude,"The paper focuses solely on energy efficiency via performance-per-Watt metrics without connecting to broader environmental impacts like carbon emissions or resource depletion, thus meeting exclusion criterion EC2.",exclude,EC1
52,no,include,"The paper evaluates energy consumption and carbon emissions of ML training on HPC hardware with a life-cycle aware perspective, directly addressing IC1 and IC2.",include,The paper addresses environmental impacts in an HPC-related context by examining energy demand and explicitly linking it to carbon emissions and life-cycle considerations rather than energy alone.,include,The paper addresses carbon emissions and energy consumption of machine learning training on HPC hardware with a life-cycle aware perspective.,,
53,no,exclude,"EC1/EC2 — the paper presents a neural network model for quantile regression with no meaningful connection to environmental impacts of HPC; the brief mention of ""sustainable computation"" is incidental.",exclude,"The paper proposes a quantile regression neural network and only mentions HPC as a computational context, without addressing environmental impacts of HPC or methods to measure/predict them.",include,The paper discusses high-performance computing in the context of sustainable computation and presents a regression model that could potentially be applied to predicting or measuring environmental impacts.,,
54,no,exclude,"EC2-adjacent — the paper focuses on computational efficiency of ML models for solving PDEs in HPC environments, with only a passing mention of ""sustainable"" deep learning, but does not address environmental impacts such as carbon emissions, water use, or material depletion.",exclude,"The paper focuses on model performance and computational efficiency for PDE solving in HPC and does not address or measure environmental impacts such as carbon emissions, water use, or material depletion.",include,The paper describes deep learning models as a potentially sustainable way to enhance high-performance computing methods by improving computational efficiency in solving partial differential equations.,,
55,no,exclude,EC1 — the paper focuses on optimizing I/O and communication costs in Toom-Cook integer multiplication algorithms with no connection to environmental impacts of HPC.,exclude,"The paper is about optimizing arithmetic, communication, and memory costs in an HPC-related algorithm, but it does not address environmental impacts or methods to measure/predict them.",exclude,The paper focuses on optimizing algorithm performance and communication costs in HPC without addressing or connecting these optimizations to environmental impacts.,,
56,yes,exclude,"This paper focuses on FPGA communication optimization and performance scaling in HPC, with no connection to environmental impacts such as carbon emissions, energy efficiency in environmental terms, or other ecological considerations.",exclude,The paper focuses on communication performance and FPGA resource utilization in HPC without addressing environmental impacts or methods to measure/predict them.,exclude,The paper focuses on optimizing communication performance and scalability for FPGA-based HPC applications without addressing environmental impacts or methodologies for their measurement.,exclude,EC1
57,no,exclude,"EC1/EC2 — the paper focuses on mixed-precision numerical solvers for performance acceleration with no connection to environmental impacts such as carbon emissions, water use, or material depletion.",exclude,"The paper is about mixed-precision solver performance and accuracy on heterogeneous HPC systems, with no discussion of environmental impacts beyond efficiency or energy-related implications.",exclude,The paper focuses on optimizing numerical solver performance and accuracy through mixed-precision algorithms without addressing environmental impacts or methodologies for measuring them.,,
58,no,include,"The paper addresses energy efficiency in HPC centers, which connects to broader environmental impacts through energy consumption reduction.",exclude,"The paper is about HPC energy efficiency and energy-to-solution under power capping and load balancing, but it does not connect energy use to broader environmental impacts such as carbon emissions, water use, or material depletion.",exclude,The paper focuses solely on energy efficiency and power capping without connecting these metrics to broader environmental impacts such as carbon emissions or resource depletion.,,
59,no,include,"The paper addresses energy consumption and power capping strategies for HPC supercomputers, directly connecting to environmental impacts (energy footprint, climate-related strain on power grids), satisfying IC1.",exclude,"The paper is about reducing HPC energy consumption through power capping and user participation, but it does not connect that energy use to broader environmental impacts such as carbon emissions, water use, or material depletion.",include,The paper proposes an energy-saving methodology for HPC systems and explicitly contextualizes its importance within the framework of climate-related events and global energy conservation initiatives.,,
60,no,include,"The paper directly addresses carbon footprint of HPC computations and presents a method for evaluating energy efficiency of HPC code, satisfying both IC1 and IC2.",include,"The paper explicitly connects HPC energy efficiency to carbon footprint and proposes a method to evaluate HPC code power rate, satisfying IC1 and IC2.",include,The paper addresses the carbon footprint of supercomputers and proposes a method for evaluating it in the context of HPC plasma physics simulations.,,
61,no,exclude,"EC1 — this paper is about detecting micro-architectural/side-channel attacks using hardware performance counters, with no connection to environmental impacts of HPC.",exclude,"This paper is about detecting micro-architectural security attacks using hardware performance counters, not about environmental impacts of high-performance computing systems.",exclude,"The paper focuses on security and micro-architectural attack detection using Hardware Performance Counters, which is unrelated to the environmental impacts of High-Performance Computing.",,
62,no,exclude,"EC1/EC2 — the paper focuses on fairshare-based job scheduling and resource allocation in HPC batch systems, with no connection to environmental impacts such as carbon emissions, water use, or energy sustainability.",exclude,The paper focuses on fair-share scheduling and resource allocation in HPC batch systems without addressing environmental impacts or methods to measure/predict them.,exclude,The paper focuses on fairshare resource allocation and scheduling policies in batch systems without addressing environmental impacts or providing methodologies for their measurement.,,
63,no,include,"The paper addresses environmental impacts (energy consumption and greenhouse gas emissions) in the HPC context, using HPC systems to simulate and reduce building sector emissions.",exclude,"The paper uses EuroHPC systems to run urban building energy simulations, but it does not study or measure the environmental impacts of HPC systems themselves.",include,"The paper discusses greenhouse gas emissions and energy consumption within the context of HPC simulations on EuroHPC systems, warranting inclusion under the guideline to include when uncertain.",,
64,no,include,"The paper explicitly addresses sustainable HPC through energy efficiency improvements via Dynamic Resource Management, connecting to broader environmental impacts.",exclude,"The paper is about dynamic resource management for improving energy efficiency and throughput in HPC, but it does not connect this to broader environmental impacts such as carbon emissions, water use, or material depletion.",include,"The paper connects energy efficiency and dynamic resource management to the goal of sustainable HPC, warranting inclusion under the ""when uncertain, include"" guideline.",,
65,no,exclude,"EC1 — the paper focuses on computational methods for cancer cell simulation using HPC, with no discussion of environmental impacts of HPC systems.",exclude,"The paper is about improving the computational efficiency and scalability of biomedical simulations on supercomputers, but it does not address environmental impacts of HPC or methods to measure/predict them.",exclude,The paper focuses on improving computational efficiency for biological simulations and does not address environmental impacts or methodologies for measuring them.,,
66,no,exclude,"EC1/EC2 — the paper focuses on FPGA hardware optimization of the CORDIC algorithm, with no connection to environmental impacts of HPC such as carbon emissions, water use, or energy efficiency in an environmental context.",exclude,"The paper is about improving a CORDIC algorithm for FPGA performance and resource utilization, with no discussion of environmental impacts or methods to measure/predict them in HPC.",exclude,The paper focuses on optimizing FPGA hardware resource utilization and computational efficiency for the CORDIC algorithm without addressing or connecting these improvements to broader environmental impacts or sustainability metrics.,,
67,no,include,"The paper addresses energy efficiency of parallel/HPC software with explicit connection to reducing greenhouse-gas emissions, satisfying IC1.",exclude,"The paper focuses on runtime adaptation to minimize energy consumption and improve energy-efficiency, but it does not clearly address HPC-specific environmental impacts beyond energy use alone.",include,"The paper aims to reduce greenhouse-gas emissions through a dynamic adaptation algorithm that optimizes energy efficiency in parallel applications, addressing environmental impacts in an HPC-relevant context.",,
68,no,include,"The paper addresses resource efficiency in HPC containerized environments, with memory saving implications that connect to broader environmental impact (IC1/IC2).",exclude,"The paper focuses on elastic memory provisioning and resource efficiency for HPC workloads without addressing environmental impacts or linking resource use to broader impacts such as carbon emissions, water use, or materials.",exclude,The paper focuses on memory resource provisioning and efficiency in containerized HPC environments without addressing or connecting to broader environmental impacts.,,
69,no,exclude,EC1 — the paper focuses on MPI communication progress offloading via DPUs with no connection to environmental impacts of HPC.,exclude,The paper focuses on MPI communication offload and performance improvements in HPC systems without addressing environmental impacts or methods to measure/predict them.,exclude,The paper focuses on optimizing MPI communication performance and hardware offloading without addressing environmental impacts or methodologies for their measurement.,,
70,no,exclude,"EC1 — the paper focuses on optimizing edge AI models using HPC for faster inference, with no discussion of environmental impacts such as energy consumption, carbon emissions, or resource use.",exclude,"The paper uses HPC to accelerate edge AI model search and latency measurement, but it does not address environmental impacts or methods to measure/predict them in the HPC context.",exclude,The paper focuses on optimizing AI model performance and latency using HPC without addressing environmental impacts or methodologies for their measurement.,,
71,no,include,"The paper addresses environmental impacts of HPC data centers by proposing metrics (HRF and GSR) that quantify heat reuse and CO2 emissions offsets, directly connecting to carbon emissions beyond mere energy consumption.",include,"The paper addresses environmental impacts in the HPC/data center context beyond energy alone by quantifying waste heat reuse and CO2 emissions offsets, and it proposes metrics for measuring these impacts.",include,"The paper proposes the Green Supercomputing Ratio metric to measure CO2 emissions offset and quantifies waste heat reuse in supercomputing facilities, addressing broader environmental impacts beyond energy consumption.",,
72,no,include,"The paper directly addresses energy use reduction in HPC-based ML infrastructure, connecting to broader environmental impacts like e-waste reduction.",include,The paper is in the HPC context and explicitly addresses environmental impacts beyond energy consumption by discussing e-waste reduction through better use of existing resources.,include,The paper addresses environmental impacts in the HPC context by proposing a framework that reduces both energy consumption and e-waste.,,
73,no,include,"The paper evaluates energy savings through GPU clock frequency adjustment in HPC systems, connecting to sustainability of high-performance data centers.",exclude,The paper focuses on energy savings and performance tradeoffs from GPU clock-rate adjustment in HPC without directly addressing broader environmental impacts or methods to measure/predict them beyond energy consumption.,include,The paper investigates energy-efficient GPU configurations in HPC and explicitly relates the findings to the future sustainability of high-performance data centers.,,
74,no,include,"The paper explicitly connects HPC energy consumption to carbon emissions in data centers, satisfying IC1.",include,"The paper addresses environmental impacts in an HPC context by linking workload energy consumption monitoring on HPC Vega to sustainability and carbon emissions, and it presents measurement/monitoring approaches.",include,"The paper explicitly links energy consumption management in HPC workloads to carbon emissions and sustainability, satisfying inclusion criterion IC1.",,
75,no,exclude,"EC1 — the paper focuses on continuous integration and benchmarking workflows for HPC software, with no mention of environmental impacts such as energy consumption, carbon emissions, or resource use.",exclude,"The paper focuses on CI/CB workflows, benchmarking, reproducibility, and software sustainability in HPC, but does not address environmental impacts or methods to measure/predict them.",exclude,"The paper focuses on Continuous Integration and Continuous Benchmarking (CI/CB) for software development and performance evaluation, without addressing environmental impacts or methodologies for their measurement.",,
76,no,include,"The paper addresses energy consumption optimization in HPC systems with explicit connections to sustainability and cost-efficiency, satisfying IC1.",exclude,"The paper is about power/energy-aware scheduling to reduce electricity costs in HPC and does not explicitly address broader environmental impacts such as carbon emissions, water use, or material depletion.",include,"The paper proposes a methodology for power-aware scheduling to achieve sustainable HPC operations, which connects energy management to broader environmental impacts.",,
77,no,include,"The paper directly addresses carbon emissions in HPC through carbon-aware scheduling policies, satisfying IC1 and IC2.",include,"The paper is explicitly about reducing carbon emissions in HPC through carbon-aware scheduling and prediction models, satisfying both environmental-impact relevance and methodology criteria.",include,The paper explicitly addresses carbon emissions in the HPC context and proposes methodologies for carbon-aware scheduling to reduce environmental impact.,,
78,no,exclude,EC1 — the paper focuses on GPU kernel performance optimization for matrix operations and has no connection to environmental impacts of HPC.,exclude,The paper focuses on GPU performance optimization for low-rank GEMM and does not address environmental impacts of HPC or methods to measure/predict them beyond computational efficiency.,exclude,The paper focuses on performance optimization and memory efficiency for GPU operations and does not address environmental impacts or related measurement methodologies.,,
79,yes,exclude,"EC1/EC2 — the paper addresses memory optimization and MPI data structures in HPC software, with no connection to environmental impacts such as carbon emissions, water use, or material depletion.",exclude,"The paper focuses on memory footprint and performance optimization in parallel HPC software, without addressing environmental impacts or methods to measure/predict them beyond energy-unrelated efficiency gains.",exclude,The paper focuses on memory optimization and performance in HPC software without addressing environmental impacts or connecting efficiency gains to broader environmental metrics.,exclude,EC1
80,no,exclude,"EC1 — the paper focuses on message-passing and hybrid programming models (MPI/OpenMP) for hierarchical HPC systems, with no connection to environmental impacts.",exclude,The paper discusses message-passing and hybrid parallel programming performance in HPC systems without addressing environmental impacts or methods to measure/predict them.,exclude,The paper focuses on parallel programming models and hardware topology for HPC without addressing any environmental impacts or methodologies for measuring them.,,
81,no,exclude,"The paper focuses on reducing memory consumption in MPI implementations for performance reasons, without connecting to environmental impacts such as carbon emissions, energy use, or resource depletion.",exclude,The paper focuses on reducing MPI memory footprint in HPC performance/runtime implementation and does not address environmental impacts or methods to measure/predict them.,exclude,The paper focuses on optimizing memory consumption for performance and scalability in MPI implementations without addressing environmental impacts or their measurement.,,
82,no,exclude,EC1 — the paper presents an HPC solver for bone stiffness simulation with no connection to environmental impacts of HPC systems.,exclude,"The paper is about HPC solver scalability and memory efficiency for bone analysis, with no discussion of environmental impacts or methods to measure/predict them.",exclude,The paper focuses on the computational efficiency and scalability of a solver for biomechanical simulations and does not address environmental impacts of HPC.,,
83,no,exclude,"EC1 — ""HPC"" here refers to Hardware Performance Counters, not High-Performance Computing; the paper is about cybersecurity/malware detection and has no connection to environmental impacts.",exclude,The paper uses HPC to mean hardware performance counters for malware detection and does not address environmental impacts of high-performance computing systems.,exclude,The paper focuses on hardware performance counters for malware detection and does not address High-Performance Computing or its environmental impacts.,,
84,no,exclude,"EC2 — focuses solely on reducing energy consumption through task scheduling and DVFS without connecting to broader environmental impacts such as carbon emissions, water use, or material depletion.",exclude,"The paper is about reducing energy consumption in heterogeneous HPC scheduling and does not clearly connect that energy focus to broader environmental impacts such as carbon emissions, water use, or material depletion.",include,"The paper connects energy consumption to system sustainability in the HPC context and presents a task scheduling strategy to improve energy efficiency, warranting inclusion under the guideline to include when uncertain.",,
85,yes,include,"The paper addresses reducing HPC data storage footprint through compression, directly connecting to resource and energy savings in HPC environments (IC1/IC2).",include,"The paper is set in an HPC context and discusses reducing data storage footprint by relating compression savings to computational costs, which plausibly addresses environmental impact measurement or mitigation, so it should be included when uncertain.",include,"The paper discusses reducing the storage footprint in HPC installations and evaluates the costs versus savings of data compression, which may relate to resource efficiency and environmental impacts.",exclude,EC1
86,no,include,"The paper directly investigates energy footprint and efficiency of an HPC application, addressing energy consumption in the HPC context as part of a broader energy-efficient HPC initiative.",exclude,"The paper studies HPC performance and energy efficiency/energy-to-solution only, without linking these results to broader environmental impacts such as carbon emissions, water use, or material depletion.",include,"The paper addresses the energy footprint and energy-aware measurement methodologies in HPC as part of the Exa2Green project, which focuses on environmental sustainability.",,
87,no,include,"The paper explores energy-performance tradeoffs in HPC workflows, directly addressing energy consumption in the context of sustainability for HPC systems (IC1/IC2).",include,"The paper studies power/energy tradeoffs in an HPC scientific workflow context and frames them as relevant to sustainability, so it meets the include-when-uncertain rule despite not explicitly analyzing broader impacts like carbon or water.",include,"The paper explicitly connects energy and power consumption in HPC workflows to sustainability, satisfying the inclusion criterion for addressing environmental impacts.",,
88,no,include,"The paper addresses carbon emissions in the context of HPC/cloud computing energy utilization, satisfying IC1.",include,"Although the study is centered on green cloud networking rather than classic HPC systems, it links energy-efficient data delivery to broader environmental impacts through carbon emissions, so under the uncertainty rule it should be included.",include,"The paper addresses energy efficiency in high-performance cloud networks and explicitly links it to carbon emissions, meeting inclusion criterion IC1.",,
89,no,exclude,EC1 — the paper focuses on performance optimization of sparse matrix multiplication on a supercomputer with no mention of environmental impacts.,exclude,The paper focuses on performance and memory optimization of SpGEMM on an HPC system without addressing environmental impacts or methods to measure/predict them.,exclude,The paper focuses on computational performance and scalability of sparse matrix multiplication on the Sunway TaihuLight without addressing any environmental impacts of HPC.,,
